equiv_full_spread,sigma,vss,pct_vss
0.04,0.02,93.197,1.4604
0.065,0.0325,92.742,1.4534
0.09,0.045,92.247,1.4457
0.115,0.0575,91.707,1.4374
0.14,0.07,92.0,1.4421
0.165,0.0825,93.357,1.4635
0.19,0.095,98.604,1.5459
0.215,0.1075,105.869,1.66
0.24,0.12,113.763,1.784
0.265,0.1325,130.081,2.0402
0.29,0.145,148.122,2.3236
0.315,0.1575,167.179,2.623
0.34,0.17,185.285,2.9084
0.365,0.1825,201.905,3.1718
0.39,0.195,218.516,3.4365
0.415,0.2075,241.303,3.7992
0.44,0.22,267.518,4.2184
0.465,0.2325,279.131,4.421
0.49,0.245,262.573,4.2013
