fe_mean,penalty,full_spread,half_spread,worstcase_fe_yield
0.82,1,0.2974,0.1487,0.6713
0.82,3,0.2929,0.1464,0.6736
0.82,5,0.2893,0.1447,0.6753
0.82,8,0.2853,0.1427,0.6773
0.85,1,0.3134,0.1567,0.6933
0.85,3,0.3056,0.1528,0.6972
0.85,5,0.2997,0.1498,0.7002
0.85,8,0.2955,0.1478,0.7022
0.875,1,0.3634,0.1817,0.6933
0.875,3,0.3556,0.1778,0.6972
0.875,5,0.3494,0.1747,0.7003
0.875,8,0.3423,0.1712,0.7038
0.9,1,0.4134,0.2067,0.6933
0.9,3,0.4056,0.2028,0.6972
0.9,5,0.3994,0.1997,0.7003
0.9,8,0.3923,0.1962,0.7038
0.92,1,NA,None,NA
0.92,3,0.4456,0.2228,0.6972
0.92,5,0.4394,0.2197,0.7003
0.92,8,0.4323,0.2162,0.7038
