full_spread,half_spread,vss,pct_vss
0.02,0.01,93.347,1.4491
0.03,0.015,93.24,1.4474
0.04,0.02,93.132,1.4458
0.05,0.025,93.022,1.4441
0.06,0.03,92.912,1.4424
0.07,0.035,92.799,1.4407
0.08,0.04,92.686,1.439
0.09,0.045,92.571,1.4372
0.1,0.05,92.455,1.4354
0.11,0.055,92.655,1.4386
0.12,0.06,93.06,1.4449
0.13,0.065,93.464,1.4512
0.14,0.07,93.866,1.4574
0.15,0.075,94.267,1.4637
0.16,0.08,94.667,1.4699
0.17,0.085,95.858,1.4884
0.18,0.09,97.282,1.5106
0.19,0.095,98.737,1.5332
0.2,0.1,100.191,1.5558
0.21,0.105,101.819,1.5811
0.22,0.11,104.33,1.6202
0.23,0.115,106.839,1.6592
0.24,0.12,109.346,1.6981
0.25,0.125,111.851,1.7371
0.26,0.13,113.269,1.7591
0.27,0.135,120.325,1.8688
0.28,0.14,116.126,1.8036
0.29,0.145,117.565,1.826
0.3,0.15,119.012,1.8485
0.31,0.155,120.465,1.8711
0.32,0.16,121.926,1.8939
0.33,0.165,130.85,2.0325
0.34,0.17,128.622,1.998
0.35,0.175,132.142,2.0527
0.36,0.18,135.682,2.1077
0.37,0.185,139.242,2.1631
0.38,0.19,142.821,2.2187
0.39,0.195,146.419,2.2747
0.4,0.2,150.038,2.331
0.41,0.205,153.677,2.3876
0.42,0.21,157.336,2.4445
0.43,0.215,161.016,2.5018
0.44,0.22,164.716,2.5593
0.45,0.225,174.374,2.7095
0.46,0.23,178.134,2.768
0.47,0.235,175.941,2.734
0.48,0.24,179.725,2.7929
0.49,0.245,189.541,2.9455
0.5,0.25,187.357,2.9116
