label,fe_yield_lo,fe_yield_hi,be_yield_lo,be_yield_hi,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,rp_total_starts,ev_total_starts,rp_outsource_fe,rp_outsource_be,ev_outsource_fe,ev_outsource_be,rp_exp_unmet,eev_exp_unmet,rp_exp_inv,eev_exp_inv,status_rp,status_eev
FEsp0.03_BEsp0.04,0.8600,0.8900,0.7800,0.8200,0.0300,0.0400,0.8750,0.8000,6566.5453,6445.6807,120.8646,1.8406,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.03_BEsp0.08,0.8600,0.8900,0.7600,0.8400,0.0300,0.0800,0.8750,0.8000,6548.0507,6430.1325,117.9182,1.8008,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.03_BEsp0.15,0.8600,0.8900,0.7250,0.8750,0.0300,0.1500,0.8750,0.8000,6451.3874,6348.2014,103.1860,1.5994,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
FEsp0.03_BEsp0.20,0.8600,0.8900,0.7000,0.9000,0.0300,0.2000,0.8750,0.8000,6382.0313,6288.5000,93.5313,1.4655,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.03_BEsp0.25,0.8600,0.8900,0.6750,0.9250,0.0300,0.2500,0.8750,0.8000,6312.8105,6228.0117,84.7987,1.3433,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
FEsp0.03_BEsp0.30,0.8600,0.8900,0.6500,0.9500,0.0300,0.3000,0.8750,0.8000,6243.0337,6166.2415,76.7922,1.2300,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
FEsp0.03_BEsp0.40,0.8600,0.8900,0.6000,1.0000,0.0300,0.4000,0.8750,0.8000,6101.6860,6036.3321,65.3539,1.0711,10.0000,2.2093,10.0000,0.2857,12.2093,10.2857,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.05_BEsp0.04,0.8500,0.9000,0.7800,0.8200,0.0500,0.0400,0.8750,0.8000,6566.3299,6445.6807,120.6492,1.8374,10.0000,2.3529,10.0000,0.2857,12.3529,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
FEsp0.05_BEsp0.08,0.8500,0.9000,0.7600,0.8400,0.0500,0.0800,0.8750,0.8000,6547.8353,6430.1325,117.7027,1.7976,10.0000,2.3529,10.0000,0.2857,12.3529,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
FEsp0.05_BEsp0.15,0.8500,0.9000,0.7250,0.8750,0.0500,0.1500,0.8750,0.8000,6451.1719,6348.2014,102.9706,1.5962,10.0000,2.3529,10.0000,0.2857,12.3529,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
