experiment,ramp_spread,label,fe_yield_lo,fe_yield_hi,be_yield_lo,be_yield_hi,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,rp_total_starts,ev_total_starts,rp_outsource_fe,rp_outsource_be,ev_outsource_fe,ev_outsource_be,rp_exp_unmet,eev_exp_unmet,rp_exp_inv,eev_exp_inv,status_rp,status_eev
A_FE_only,0.0200,A_FEsp0.02,0.8650,0.8850,0.7000,0.9000,0.0200,0.2000,0.8750,0.8000,6382.1371,6288.5000,93.6371,1.4672,10.0000,2.1387,10.0000,0.2857,12.1387,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.0400,A_FEsp0.04,0.8550,0.8950,0.7000,0.9000,0.0400,0.2000,0.8750,0.8000,6381.9242,6288.5000,93.4242,1.4639,10.0000,2.2807,10.0000,0.2857,12.2807,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.0600,A_FEsp0.06,0.8450,0.9050,0.7000,0.9000,0.0600,0.2000,0.8750,0.8000,6381.7062,6288.5000,93.2062,1.4605,10.0000,2.4260,10.0000,0.2857,12.4260,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.0800,A_FEsp0.08,0.8350,0.9150,0.7000,0.9000,0.0800,0.2000,0.8750,0.8000,6381.4830,6288.5000,92.9830,1.4571,10.0000,2.5749,10.0000,0.2857,12.5749,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1000,A_FEsp0.10,0.8250,0.9250,0.7000,0.9000,0.1000,0.2000,0.8750,0.8000,6381.2543,6288.5000,92.7543,1.4535,10.0000,2.7273,10.0000,0.2857,12.7273,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1200,A_FEsp0.12,0.8150,0.9350,0.7000,0.9000,0.1200,0.2000,0.8750,0.8000,6381.0201,6288.5000,92.5201,1.4499,10.0000,2.8834,10.0000,0.2857,12.8834,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1500,A_FEsp0.15,0.8000,0.9500,0.7000,0.9000,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1800,A_FEsp0.18,0.7850,0.9650,0.7000,0.9000,0.1800,0.2000,0.8750,0.8000,6380.2815,6286.6780,93.6036,1.4671,10.0000,3.3758,10.0000,0.2857,13.3758,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.2000,A_FEsp0.20,0.7750,0.9750,0.7000,0.9000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.2500,A_FEsp0.25,0.7500,1.0000,0.7000,0.9000,0.2500,0.2000,0.8750,0.8000,6379.3452,6274.8333,104.5119,1.6383,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.3000,A_FEsp0.30,0.7250,1.0000,0.7000,0.9000,0.2750,0.2000,0.8625,0.8000,6378.6211,6268.4607,110.1604,1.7270,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.3500,A_FEsp0.35,0.7000,1.0000,0.7000,0.9000,0.3000,0.2000,0.8500,0.8000,6377.8452,6252.7462,125.0991,1.9615,10.0000,5.0000,10.0000,0.5882,15.0000,10.5882,Yes,Yes,Yes,Yes,30.0000,30.7721,0.0000,0.0000,Optimal,Optimal
