experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,profit_gap,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be
A_FE_only,0.0200,0.0200,0.2000,0.8750,0.8000,6382.1371,6288.5000,93.6371,1.4672,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.1387,10.0000,0.2857,1.8530,1.8530,Yes,Yes,Yes,Yes
A_FE_only,0.0400,0.0400,0.2000,0.8750,0.8000,6381.9242,6288.5000,93.4242,1.4639,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.2807,10.0000,0.2857,1.9950,1.9950,Yes,Yes,Yes,Yes
A_FE_only,0.0600,0.0600,0.2000,0.8750,0.8000,6381.7062,6288.5000,93.2062,1.4605,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.4260,10.0000,0.2857,2.1403,2.1403,Yes,Yes,Yes,Yes
A_FE_only,0.0800,0.0800,0.2000,0.8750,0.8000,6381.4830,6288.5000,92.9830,1.4571,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.5749,10.0000,0.2857,2.2891,2.2891,Yes,Yes,Yes,Yes
A_FE_only,0.1000,0.1000,0.2000,0.8750,0.8000,6381.2543,6288.5000,92.7543,1.4535,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.7273,10.0000,0.2857,2.4416,2.4416,Yes,Yes,Yes,Yes
A_FE_only,0.1200,0.1200,0.2000,0.8750,0.8000,6381.0201,6288.5000,92.5201,1.4499,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.8834,10.0000,0.2857,2.5977,2.5977,Yes,Yes,Yes,Yes
A_FE_only,0.1500,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
A_FE_only,0.1800,0.1800,0.2000,0.8750,0.8000,6380.2815,6286.6780,93.6036,1.4671,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.3758,10.0000,0.2857,3.0901,3.0901,Yes,Yes,Yes,Yes
A_FE_only,0.2000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.5484,10.0000,0.2857,3.2627,3.2627,Yes,Yes,Yes,Yes
A_FE_only,0.2500,0.2500,0.2000,0.8750,0.8000,6379.3452,6274.8333,104.5119,1.6383,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,4.0000,10.0000,0.2857,3.7143,3.7143,Yes,Yes,Yes,Yes
