experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be,profit_gap,rp_total_starts,ev_total_starts,status_rp,status_eev
A_FE_only,0.010000,0.010000,0.200000,0.875000,0.800000,6382.241790,6288.500001,93.741789,1.468791,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.068966,10.000000,0.285714,1.783251,1.783251,Yes,Yes,Yes,Yes,93.741789,12.068966,10.285714,Optimal,Optimal
A_FE_only,0.020000,0.020000,0.200000,0.875000,0.800000,6382.137146,6288.500001,93.637145,1.467175,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.138728,10.000000,0.285714,1.853014,1.853014,Yes,Yes,Yes,Yes,93.637145,12.138728,10.285714,Optimal,Optimal
A_FE_only,0.030000,0.030000,0.200000,0.875000,0.800000,6382.031285,6288.500001,93.531284,1.465541,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.209302,10.000000,0.285714,1.923588,1.923588,Yes,Yes,Yes,Yes,93.531284,12.209302,10.285714,Optimal,Optimal
A_FE_only,0.040000,0.040000,0.200000,0.875000,0.800000,6381.924185,6288.500001,93.424184,1.463887,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.280702,10.000000,0.285714,1.994988,1.994988,Yes,Yes,Yes,Yes,93.424184,12.280702,10.285714,Optimal,Optimal
A_FE_only,0.050000,0.050000,0.200000,0.875000,0.800000,6381.815826,6288.500000,93.315826,1.462214,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.352941,10.000000,0.285714,2.067227,2.067227,Yes,Yes,Yes,Yes,93.315826,12.352941,10.285714,Optimal,Optimal
A_FE_only,0.060000,0.060000,0.200000,0.875000,0.800000,6381.706185,6288.500000,93.206185,1.460521,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.426035,10.000000,0.285714,2.140321,2.140321,Yes,Yes,Yes,Yes,93.206185,12.426035,10.285714,Optimal,Optimal
A_FE_only,0.070000,0.070000,0.200000,0.875000,0.800000,6381.595238,6288.500001,93.095237,1.458808,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.500000,10.000000,0.285714,2.214286,2.214286,Yes,Yes,Yes,Yes,93.095237,12.500000,10.285714,Optimal,Optimal
A_FE_only,0.080000,0.080000,0.200000,0.875000,0.800000,6381.482963,6288.500001,92.982962,1.457075,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.574850,10.000000,0.285714,2.289136,2.289136,Yes,Yes,Yes,Yes,92.982962,12.574850,10.285714,Optimal,Optimal
A_FE_only,0.090000,0.090000,0.200000,0.875000,0.800000,6381.369334,6288.500000,92.869334,1.455320,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.650602,10.000000,0.285714,2.364888,2.364888,Yes,Yes,Yes,Yes,92.869334,12.650602,10.285714,Optimal,Optimal
A_FE_only,0.100000,0.100000,0.200000,0.875000,0.800000,6381.254329,6288.500002,92.754327,1.453544,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.727273,10.000000,0.285714,2.441558,2.441558,Yes,Yes,Yes,Yes,92.754327,12.727273,10.285714,Optimal,Optimal
A_FE_only,0.110000,0.110000,0.200000,0.875000,0.800000,6381.137921,6288.500001,92.637920,1.451746,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.804878,10.000000,0.285714,2.519164,2.519164,Yes,Yes,Yes,Yes,92.637920,12.804878,10.285714,Optimal,Optimal
A_FE_only,0.120000,0.120000,0.200000,0.875000,0.800000,6381.020085,6288.500000,92.520085,1.449926,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.883436,10.000000,0.285714,2.597721,2.597721,Yes,Yes,Yes,Yes,92.520085,12.883436,10.285714,Optimal,Optimal
A_FE_only,0.130000,0.130000,0.200000,0.875000,0.800000,6380.900793,6288.500000,92.400793,1.448084,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.962963,10.000000,0.285714,2.677249,2.677249,Yes,Yes,Yes,Yes,92.400793,12.962963,10.285714,Optimal,Optimal
A_FE_only,0.140000,0.140000,0.200000,0.875000,0.800000,6380.780021,6288.500001,92.280019,1.446218,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.043478,10.000000,0.285714,2.757764,2.757764,Yes,Yes,Yes,Yes,92.280019,13.043478,10.285714,Optimal,Optimal
A_FE_only,0.150000,0.150000,0.200000,0.875000,0.800000,6380.657738,6288.500000,92.157738,1.444330,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.125000,10.000000,0.285714,2.839286,2.839286,Yes,Yes,Yes,Yes,92.157738,13.125000,10.285714,Optimal,Optimal
A_FE_only,0.160000,0.160000,0.200000,0.875000,0.800000,6380.533917,6288.500001,92.033916,1.442417,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.207547,10.000000,0.285714,2.921833,2.921833,Yes,Yes,Yes,Yes,92.033916,13.207547,10.285714,Optimal,Optimal
A_FE_only,0.170000,0.170000,0.200000,0.875000,0.800000,6380.408529,6287.706549,92.701980,1.452916,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.291139,10.000000,0.285714,3.005425,3.005425,Yes,Yes,Yes,Yes,92.701980,13.291139,10.285714,Optimal,Optimal
A_FE_only,0.180000,0.180000,0.200000,0.875000,0.800000,6380.281544,6286.677977,93.603567,1.467076,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.375796,10.000000,0.285714,3.090082,3.090082,Yes,Yes,Yes,Yes,93.603567,13.375796,10.285714,Optimal,Optimal
A_FE_only,0.190000,0.190000,0.200000,0.875000,0.800000,6380.152930,6285.617261,94.535669,1.481715,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.461539,10.000000,0.285714,3.175824,3.175824,Yes,Yes,Yes,Yes,94.535669,13.461538,10.285714,Optimal,Optimal
A_FE_only,0.200000,0.200000,0.200000,0.875000,0.800000,6380.022657,6284.556548,95.466110,1.496329,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.548387,10.000000,0.285714,3.262673,3.262673,Yes,Yes,Yes,Yes,95.466110,13.548387,10.285714,Optimal,Optimal
A_FE_only,0.210000,0.210000,0.200000,0.875000,0.800000,6379.890693,6283.319049,96.571644,1.513688,30.000000,30.000000,0.000000,96.000000,96.000000,0.000000,0.000000,0.000000,0.000000,10.000000,3.636364,10.000000,0.285714,3.350649,3.350649,Yes,Yes,Yes,Yes,96.571644,13.636364,10.285714,Optimal,Optimal
