scenario,fe_spread,v_d,rp_obj,eev_obj,vss,pct_vss,rp_unmet,eev_unmet,unmet_gap,rp_inv,eev_inv,rp_fe1,rp_fe2,ev_fe1,ev_fe2,rp_total,ev_total
S1: Low ($1),0.01,1,6442.13714555,6348.500000702501,93.63714484749926,1.4535105778084914,30.0,30.0,0.0,0.0,0.0,10.0,2.1387283,10.0,0.28571429,12.1387283,10.28571429
S1: Low ($1),0.02,1,6441.9241853,6348.5000011150005,93.42418418499983,1.4502527738247368,30.0,30.0,0.0,0.0,0.0,10.0,2.2807018,10.0,0.28571429,12.2807018,10.28571429
S1: Low ($1),0.03,1,6441.70618475,6348.499999877501,93.20618487249885,1.4469176674520454,30.0,30.0,0.0,0.0,0.0,10.0,2.4260355,10.0,0.28571429,12.4260355,10.28571429
S1: Low ($1),0.04,1,6441.48296255,6348.500000702501,92.9829618474987,1.4435024106729826,30.0,30.0,0.0,0.0,0.0,10.0,2.5748503,10.0,0.28571429,12.5748503,10.28571429
S1: Low ($1),0.05,1,6441.25432895,6348.500001940001,92.75432700999863,1.4400041090307123,30.0,30.0,0.0,0.0,0.0,10.0,2.7272727,10.0,0.28571429,12.7272727,10.28571429
S1: Low ($1),0.060000000000000005,1,6441.0200846,6348.499999671251,92.52008492874847,1.4364197551558195,30.0,30.0,0.0,0.0,0.0,10.0,2.8834356,10.0,0.28571429,12.8834356,10.28571429
S1: Low ($1),0.06999999999999999,1,6440.78002055,6348.500001321251,92.28001922874864,1.4327460173196311,30.0,30.0,0.0,0.0,0.0,10.0,3.0434783,10.0,0.28571429,13.0434783,10.28571429
S1: Low ($1),0.08,1,6440.533917199999,6348.500001197501,92.0339160024987,1.4289796030219515,30.0,30.0,0.0,0.0,0.0,10.0,3.2075472,10.0,0.28571429,13.2075472,10.28571429
S1: Low ($1),0.09,1,6440.2815437,6346.67797660875,93.60356709124972,1.4534079986427677,30.0,30.0,0.0,0.0,0.0,10.0,3.3757962,10.0,0.28571429,13.3757962,10.28571429
S1: Low ($1),0.09999999999999999,1,6440.0226573499995,6344.556547683751,95.46610966624849,1.482387791870468,30.0,30.0,0.0,0.0,0.0,10.0,3.5483871,10.0,0.28571429,13.5483871,10.28571429
S1: Low ($1),0.11,1,6439.7570027,6341.197619026874,98.55938367312592,1.5304829612639557,30.0,30.0,0.0,0.0,0.0,10.0,3.7254902,10.0,0.28571429,13.7254902,10.28571429
S1: Low ($1),0.12,1,6439.4843108,6336.954763590001,102.52954720999878,1.5922012114858493,30.0,30.0,0.0,0.0,0.0,10.0,3.9072848,10.0,0.28571429,13.9072848,10.28571429
S1: Low ($1),0.13,1,6439.204298449999,6333.5734079625,105.63089048749953,1.6404339044332894,30.0,30.0,0.0,0.0,0.0,10.0,4.0939597,10.0,0.31518625,14.0939597,10.31518625
S1: Low ($1),0.14,1,6438.91666655,6331.031768538751,107.88489801124888,1.6755131895355635,30.0,30.0,0.0,0.0,0.0,10.0,4.2857143,10.0,0.37463977,14.2857143,10.37463977
S1: Low ($1),0.15000000000000002,1,6438.6211001,6328.460663778749,110.16043632125093,1.7109321174302365,30.0,30.0,0.0,0.0,0.0,10.0,4.4827586,10.0,0.43478261,14.4827586,10.43478261
S1: Low ($1),0.16,1,6438.31726595,6325.85957215125,112.45769379874946,1.7466938821654336,30.0,30.0,0.0,0.0,0.0,10.0,4.6853147,10.0,0.49562682,14.6853147,10.49562682
S1: Low ($1),0.17,1,6438.0048125,6318.2957901,119.70902240000032,1.8594118191333724,30.0,30.50036625,0.500366249999999,0.0,0.0,10.0,4.893617,10.0,0.55718475,14.893616999999999,10.55718475
S1: Low ($1),0.18000000000000002,1,6437.68336745,6310.2611164237505,127.4222510262498,1.979318393795475,30.0,31.04535375,1.0453537500000003,0.0,0.0,10.0,5.1079137,10.0,0.61946903,15.107913700000001,10.61946903
S1: Low ($1),0.19,1,6437.3525371999995,6302.1310777362505,135.22145946374894,2.1005756432063465,30.0,31.59681,1.5968100000000014,0.0,0.0,10.0,5.3284672,10.0,0.68249258,15.3284672,10.68249258
S1: Low ($1),0.2,1,6437.0119046,6293.90395736,143.1079472399997,2.2232046384399613,30.0,32.15485125,2.15485125,0.0,0.0,10.0,5.5555556,10.0,0.74626866,15.5555556,10.74626866
S1: Low ($1),0.21000000000000002,1,6436.66102745,6285.578021022501,151.08300642749873,2.3472263924290107,30.0,32.719595,2.719594999999998,0.0,0.0,10.0,5.7894737,10.0,0.81081081,15.7894737,10.81081081
S1: Low ($1),0.22,1,6436.2994364,6277.1514634925,159.14797290749993,2.472662660898757,30.0,33.291163749999996,3.2911637499999955,0.0,0.0,10.0,6.0305344,10.0,0.87613293,16.0305344,10.87613293
S1: Low ($1),0.23,1,6435.9266333,6268.62246194625,167.30417135374955,2.599535092399972,30.0,33.86968125,3.8696812499999993,0.0,0.0,10.0,6.2790698,10.0,0.94224924,16.279069800000002,10.94224924
S1: Low ($1),0.24000000000000002,1,6435.54208835,6259.98913414375,175.55295420625043,2.7278658393680124,30.0,34.455275,4.455275,0.0,0.0,10.0,6.5354331,10.0,1.0091743,16.5354331,11.0091743
S1: Low ($1),0.25,1,6435.145238,6251.2495502875,183.89568771250015,2.8576773469941714,30.0,35.04807625,5.048076250000001,0.0,0.0,10.0,6.8,10.0,1.0769231,16.8,11.0769231
S1: Low ($1),0.26,1,6434.73548195,6242.4017187375,192.33376321249943,2.988992535155681,30.0,35.648219999999995,5.648219999999995,0.0,0.0,10.0,7.0731707,10.0,1.1455108,17.0731707,11.1455108
S1: Low ($1),0.27,1,6434.31218015,6228.9469582625,205.3652218875004,3.1917198938692595,30.0,36.79906535,6.799065349999999,0.0,0.0,10.0,7.3553719,10.0,1.2149533,17.3553719,11.2149533
S1: Low ($1),0.28,1,6433.8746498,6213.328644687501,220.5460051124992,3.427887814372556,30.0,38.205328625,8.205328625,0.0,0.0,10.0,7.6470588,10.0,1.2852665,17.6470588,11.2852665
S1: Low ($1),0.29000000000000004,1,6433.42216115,6197.48433405,235.9378270999996,3.6673767271915634,30.0,39.62933725,9.629337249999999,0.0,0.0,10.0,7.9487179,10.0,1.3564669,17.9487179,11.356466900000001
S1: Low ($1),0.3,1,6430.251488,6181.377972587498,248.87351541250155,3.870354306934092,30.0,41.07142875,11.071428750000003,0.0,0.0,10.0,8.0,10.0,1.4285714,18.0,11.4285714
S1: Low ($1),0.31,1,6426.538988,6165.034838539376,261.5041494606239,4.069128810218367,30.0,42.531949,12.531948999999997,0.0,0.0,10.0,8.0,10.0,1.5015974,18.0,11.5015974
S1: Low ($1),0.32,1,6422.826488,6147.079773054374,275.7467149456261,4.2932300204717295,30.0,44.011254125,14.011254125,0.0,0.0,10.0,8.0,10.0,1.5755627,18.0,11.5755627
S1: Low ($1),0.33,1,6418.5494050068755,6128.8922781,289.6571269068754,4.51281292126418,30.0,45.509708875,15.509708875000001,0.0,0.0,10.0,8.0,10.0,1.6504854,18.0,11.6504854
S1: Low ($1),0.34,1,6411.12440506875,6110.46782368125,300.6565813875004,4.689607663045751,30.0,47.027686375,17.027686375000002,0.0,0.0,10.0,8.0,10.0,1.7263844,18.0,11.7263844
S1: Low ($1),0.35000000000000003,1,6403.69940506875,6091.801717237501,311.89768783124873,4.87058601758182,30.0,48.565573875,18.565573875,0.0,0.0,10.0,8.0,10.0,1.8032787,18.0,11.8032787
S1: Low ($1),0.36000000000000004,1,6396.274405068751,6072.889197668749,323.3852074000015,5.055836990729068,30.0,50.12376275,20.123762749999997,0.0,0.0,10.0,8.0,10.0,1.8811881,18.0,11.8811881
S1: Low ($1),0.37,1,6388.8494050687505,6053.72536410625,335.12404096250066,5.245452188881174,30.0,51.7026575,21.7026575,0.0,0.0,10.0,8.0,10.0,1.9601329,18.0,11.9601329
S1: Low ($1),0.38,1,6381.42440506875,6034.30515291875,347.11925215000065,5.439526195347306,30.0,53.302674875,23.302674875,0.0,0.0,10.0,8.0,10.0,2.0401338,18.0,12.0401338
S1: Low ($1),0.39,1,6373.9994056875,6014.62337166875,359.37603401875003,5.638156064120118,30.0,54.92424275,24.924242749999998,0.0,0.0,10.0,8.0,10.0,2.1212121,18.0,12.121212100000001
S1: Low ($1),0.4,1,6366.5744056875,5994.674732037499,371.8996736500012,5.841440780426115,30.0,56.567797,26.567797,0.0,0.0,10.0,8.0,10.0,2.2033898,18.0,12.2033898
S1: Low ($1),0.41000000000000003,1,6359.149405687501,5974.45375709375,384.6956485937508,6.049482785381429,30.0,58.23378875,28.233788750000002,0.0,0.0,10.0,8.0,10.0,2.2866894,18.0,12.2866894
S1: Low ($1),0.42000000000000004,1,6351.7244056875,5953.9548386937495,397.76956699375023,6.262387055672267,30.0,59.92268,29.92268,0.0,0.0,10.0,8.0,10.0,2.371134,18.0,12.371134
S1: Low ($1),0.43,1,6344.2994056875,5933.172180068751,411.12722561874943,6.480262032560829,30.0,61.63494875000001,31.634948750000007,0.0,0.0,10.0,8.0,10.0,2.4567474,18.0,12.4567474
S1: Low ($1),0.44,1,6334.841369964375,5912.099886375001,422.7414835893742,6.673276549492376,30.0,63.371080000000006,33.371080000000006,0.0,0.0,10.0,8.0,10.0,2.543554,18.0,12.543554
S1: Low ($1),0.45,1,6323.70386994375,5890.731817775,432.97205216874954,6.846810999905358,30.0,65.13158,35.13158,0.0,0.0,10.0,8.0,10.0,2.6315789,18.0,12.631578900000001
S1: Low ($1),0.46,1,6310.597619943751,5869.061765662502,441.53585428124916,6.996735980849699,30.2625,66.91696,36.65446,0.0,0.0,10.0,8.0,10.0,2.7208481,18.0,12.7208481
S1: Low ($1),0.47000000000000003,1,6287.64761994375,5847.083212650001,440.56440729374935,7.006824076723477,31.8375,68.7277575,36.8902575,0.0,0.0,10.0,8.0,10.0,2.8113879,18.0,12.8113879
S1: Low ($1),0.48000000000000004,1,6264.6976199437495,5824.789554175,439.9080657687491,7.022015944844581,33.4125,70.56451625,37.152016249999996,0.0,0.0,10.0,8.0,10.0,2.9032258,18.0,12.9032258
S1: Low ($1),0.49,1,6241.747619943751,5802.17397715,439.5736427937509,7.042477036226471,34.9875,72.4277975,37.4402975,0.0,0.0,10.0,8.0,10.0,2.9963899,18.0,12.9963899
S1: Low ($1),0.5,1,6211.037202875,5777.951021025002,433.08618184999796,6.972847975367602,37.5,74.48863701249999,36.98863701249999,0.0,0.0,10.0,8.0,10.0,3.0909091,18.0,13.090909100000001
S2: Baseline ($3),0.01,3,6382.13714555,6288.500000702501,93.63714484749926,1.4671753789056157,30.0,30.0,0.0,0.0,0.0,10.0,2.1387283,10.0,0.28571429,12.1387283,10.28571429
S2: Baseline ($3),0.02,3,6381.9241853,6288.5000011150005,93.42418418499983,1.463887402488912,30.0,30.0,0.0,0.0,0.0,10.0,2.2807018,10.0,0.28571429,12.2807018,10.28571429
S2: Baseline ($3),0.03,3,6381.70618475,6288.499999877501,93.20618487249885,1.4605214056270464,30.0,30.0,0.0,0.0,0.0,10.0,2.4260355,10.0,0.28571429,12.4260355,10.28571429
S2: Baseline ($3),0.04,3,6381.48296255,6288.500000702501,92.9829618474987,1.4570745137638557,30.0,30.0,0.0,0.0,0.0,10.0,2.5748503,10.0,0.28571429,12.5748503,10.28571429
S2: Baseline ($3),0.05,3,6381.25432895,6288.500001940001,92.75432700999863,1.4535438054740697,30.0,30.0,0.0,0.0,0.0,10.0,2.7272727,10.0,0.28571429,12.7272727,10.28571429
S2: Baseline ($3),0.060000000000000005,3,6381.0200846,6288.499999671251,92.52008492874847,1.4499262453668986,30.0,30.0,0.0,0.0,0.0,10.0,2.8834356,10.0,0.28571429,12.8834356,10.28571429
S2: Baseline ($3),0.06999999999999999,3,6380.78002055,6288.500001321251,92.28001922874864,1.4462184706501517,30.0,30.0,0.0,0.0,0.0,10.0,3.0434783,10.0,0.28571429,13.0434783,10.28571429
S2: Baseline ($3),0.08,3,6380.533917199999,6288.500001197501,92.0339160024987,1.442417158137863,30.0,30.0,0.0,0.0,0.0,10.0,3.2075472,10.0,0.28571429,13.2075472,10.28571429
S2: Baseline ($3),0.09,3,6380.2815437,6286.67797660875,93.60356709124972,1.467075809274835,30.0,30.0,0.0,0.0,0.0,10.0,3.3757962,10.0,0.28571429,13.3757962,10.28571429
S2: Baseline ($3),0.09999999999999999,3,6380.0226573499995,6284.556547683751,95.46610966624849,1.4963286933827473,30.0,30.0,0.0,0.0,0.0,10.0,3.5483871,10.0,0.28571429,13.5483871,10.28571429
S2: Baseline ($3),0.11,3,6379.7570027,6281.197619026874,98.55938367312592,1.5448767661748597,30.0,30.0,0.0,0.0,0.0,10.0,3.7254902,10.0,0.28571429,13.7254902,10.28571429
